updated=67
lowConfidence=932

actions-by-need/accountability/AccountabilityActions: DUTY_CHART_POST -> rest (sleep and passive recovery; cost-signals)
actions-by-need/knowledge/KnowledgeActions: CROSSCHECK_SOURCES -> rest (sleep and passive recovery; cost-signals)
actions-by-need/knowledge/KnowledgeActions: CATALOGUE_ARCHIVE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/knowledge/KnowledgeActions: MAP_TERRITORY -> rest (sleep and passive recovery; cost-signals)
actions-by-need/knowledge/KnowledgeActions: COMPILE_HANDBOOK -> rest (sleep and passive recovery; cost-signals)
actions-by-need/knowledge/KnowledgeActions: TEACH_SEMINAR -> rest (sleep and passive recovery; cost-signals)
actions-by-need/knowledge/KnowledgeActions: DEBATE_THEORY -> rest (sleep and passive recovery; cost-signals)
actions-by-need/knowledge/KnowledgeActions: OPEN_SCHOLARS_CIRCLE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/knowledge/KnowledgeActions: SEAL_SECRET_KNOWLEDGE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/law/LawActions: DECLARE_LAW -> rest (sleep and passive recovery; cost-signals)
actions-by-need/law/LawActions: HOLD_TRIAL -> rest (sleep and passive recovery; cost-signals)
actions-by-need/law/LawActions: PASS_JUDGMENT -> rest (sleep and passive recovery; cost-signals)
actions-by-need/law/LawActions: PUNISH_OFFENDER -> rest (sleep and passive recovery; cost-signals)
actions-by-need/law/LawActions: GRANT_PARDON -> rest (sleep and passive recovery; cost-signals)
actions-by-need/law/LawActions: COLLECT_FINE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/law/LawActions: DRAFT_CODE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/law/LawActions: SWEAR_OATH -> rest (sleep and passive recovery; cost-signals)
actions-by-need/law/LawActions: ISSUE_DECREE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/law/LawActions: REPORT_CRIME -> sedentary (seated cognitive, social or administrative work; cost-signals)
actions-by-need/legacy/LegacyActions: ENDOW_MEMORIAL -> rest (sleep and passive recovery; cost-signals)
actions-by-need/legacy/LegacyActions: COMMISSION_CHRONICLE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/legacy/LegacyActions: TRAIN_HEIR_APPRENTICE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/legacy/LegacyActions: DONATE_MASTER_TOOLS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/legacy/LegacyActions: ESTABLISH_HOUSE_SIGIL -> rest (sleep and passive recovery; cost-signals)
actions-by-need/legacy/LegacyActions: CREATE_FAMILY_ARCHIVE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/legacy/LegacyActions: BUILD_PUBLIC_LIBRARY -> rest (sleep and passive recovery; cost-signals)
actions-by-need/legacy/LegacyActions: RECORD_LIFE_TREATISE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/legacy/LegacyActions: PLANT_SACRED_GROVE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/legacy/LegacyActions: ENDOW_TEMPLE_ALTAR -> rest (sleep and passive recovery; cost-signals)
actions-by-need/legacy/LegacyActions: SET_SUCCESSION_CHART -> rest (sleep and passive recovery; cost-signals)
actions-by-need/legacy/LegacyActions: ENGRAVE_DEEDS_STELE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/legacy/LegacyActions: BURY_TIME_CHEST -> rest (sleep and passive recovery; cost-signals)
actions-by-need/legacy/LegacyActions: INAUGURATE_ANNUAL_REMEMBRANCE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/love/LoveActions: COURTSHIP_VISIT -> rest (sleep and passive recovery; cost-signals)
actions-by-need/love/LoveActions: EXCHANGE_TOKENS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/love/LoveActions: WRITE_POEM_OR_SONG -> rest (sleep and passive recovery; cost-signals)
actions-by-need/love/LoveActions: PROTECTIVE_GESTURE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/love/LoveActions: SHARED_TASK_HELP -> rest (sleep and passive recovery; cost-signals)
actions-by-need/love/LoveActions: CARE_WHEN_ILL -> rest (sleep and passive recovery; cost-signals)
actions-by-need/love/LoveActions: RESOLVE_QUARREL -> rest (sleep and passive recovery; cost-signals)
actions-by-need/love/LoveActions: PLEDGE_PARTNERSHIP -> rest (sleep and passive recovery; cost-signals)
actions-by-need/love/LoveActions: PLAN_FUTURE_HOME -> rest (sleep and passive recovery; cost-signals)
actions-by-need/love/LoveActions: MEET_EACH_OTHERS_FAMILY -> rest (sleep and passive recovery; cost-signals)
actions-by-need/love/LoveActions: DANCE_PAIR_GATHERING -> rest (sleep and passive recovery; cost-signals)
actions-by-need/love/LoveActions: PRIVATE_WALK_CHAPERONED -> rest (sleep and passive recovery; cost-signals)
actions-by-need/love/LoveActions: SUPPORT_PERSONAL_GOAL -> rest (sleep and passive recovery; cost-signals)
actions-by-need/love/LoveActions: DEFEND_REPUTATION -> rest (sleep and passive recovery; cost-signals)
actions-by-need/love/LoveActions: REMEMBER_ANNIVERSARY -> rest (sleep and passive recovery; cost-signals)
actions-by-need/love/LoveActions: SURPRISE_KIND_ACT -> rest (sleep and passive recovery; cost-signals)
actions-by-need/loyalty/LoyaltyActions: SWEAR_FEALTY -> rest (sleep and passive recovery; cost-signals)
actions-by-need/loyalty/LoyaltyActions: RENEW_OATH -> rest (sleep and passive recovery; cost-signals)
actions-by-need/loyalty/LoyaltyActions: OBEY_ORDER_PROMPTLY -> sedentary (seated cognitive, social or administrative work; cost-signals)
actions-by-need/loyalty/LoyaltyActions: DEFEND_LEADER -> rest (sleep and passive recovery; cost-signals)
actions-by-need/loyalty/LoyaltyActions: ESCORT_LEADER -> rest (sleep and passive recovery; cost-signals)
actions-by-need/loyalty/LoyaltyActions: PROTECT_LEADER_KIN -> rest (sleep and passive recovery; cost-signals)
actions-by-need/loyalty/LoyaltyActions: REFUSE_BRIBE -> sedentary (seated cognitive, social or administrative work; cost-signals)
actions-by-need/loyalty/LoyaltyActions: INFORM_LEADER -> rest (sleep and passive recovery; cost-signals)
actions-by-need/loyalty/LoyaltyActions: VOLUNTEER_DANGEROUS_TASK -> rest (sleep and passive recovery; cost-signals)
actions-by-need/loyalty/LoyaltyActions: CARRY_BANNER -> rest (sleep and passive recovery; cost-signals)
actions-by-need/loyalty/LoyaltyActions: PAY_EXTRA_TITHE -> sedentary (seated cognitive, social or administrative work; cost-signals)
actions-by-need/loyalty/LoyaltyActions: DENOUNCE_TRAITOR -> rest (sleep and passive recovery; cost-signals)
actions-by-need/loyalty/LoyaltyActions: KEEP_LEADER_SECRETS -> sedentary (seated cognitive, social or administrative work; cost-signals)
actions-by-need/loyalty/LoyaltyActions: REINFORCE_MORALE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/loyalty/LoyaltyActions: GUARD_LEADER_SLEEP -> rest (sleep and passive recovery; cost-signals)
actions-by-need/loyalty/LoyaltyActions: PARTICIPATE_BODYGUARD_ROTATION -> rest (sleep and passive recovery; cost-signals)
actions-by-need/mastery/MasteryActions: PRACTICE_DRILLS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/mastery/MasteryActions: STUDY_TREATISE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/mastery/MasteryActions: APPRENTICE_UNDER_MASTER -> rest (sleep and passive recovery; cost-signals)
actions-by-need/mastery/MasteryActions: COMPLETE_APPRENTICE_TASK -> rest (sleep and passive recovery; cost-signals)
actions-by-need/mastery/MasteryActions: MENTOR_JUNIOR -> rest (sleep and passive recovery; cost-signals)
actions-by-need/mastery/MasteryActions: BUILD_TRAINING_RIG -> rest (sleep and passive recovery; cost-signals)
actions-by-need/mastery/MasteryActions: ANALYZE_FAILURES -> rest (sleep and passive recovery; cost-signals)
actions-by-need/mastery/MasteryActions: FIELD_TEST_TECHNIQUE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/mastery/MasteryActions: MASTER_CLASS_DEMO -> rest (sleep and passive recovery; cost-signals)
actions-by-need/mastery/MasteryActions: GUILD_EXAM_ATTEMPT -> rest (sleep and passive recovery; cost-signals)
actions-by-need/mastery/MasteryActions: SPECIALIZE_BRANCH -> rest (sleep and passive recovery; cost-signals)
actions-by-need/mastery/MasteryActions: RECORD_KNOWLEDGE_SCROLL -> rest (sleep and passive recovery; cost-signals)
actions-by-need/mastery/MasteryActions: OPTIMIZE_WORKFLOW -> rest (sleep and passive recovery; cost-signals)
actions-by-need/mastery/MasteryActions: LEARN_FROM_RIVAL -> rest (sleep and passive recovery; cost-signals)
actions-by-need/mastery/MasteryActions: RITUAL_OF_FOCUS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/mastery/MasteryActions: CRAFT_SIGNATURE_WORK -> rest (sleep and passive recovery; cost-signals)
actions-by-need/mood/MoodActions: LISTEN_MUSIC -> rest (sleep and passive recovery; cost-signals)
actions-by-need/mood/MoodActions: TELL_JOKES -> rest (sleep and passive recovery; cost-signals)
actions-by-need/mood/MoodActions: SHARE_MEAL -> rest (sleep and passive recovery; cost-signals)
actions-by-need/mood/MoodActions: LIGHT_HEARTH -> rest (sleep and passive recovery; cost-signals)
actions-by-need/mood/MoodActions: DECORATE_SPACE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/mood/MoodActions: CELEBRATE_SMALL_WIN -> rest (sleep and passive recovery; cost-signals)
actions-by-need/mood/MoodActions: GRATITUDE_RITUAL -> rest (sleep and passive recovery; cost-signals)
actions-by-need/mood/MoodActions: MINDFUL_BREATHING -> rest (sleep and passive recovery; cost-signals)
actions-by-need/mood/MoodActions: STROLL_SCENIC -> rest (sleep and passive recovery; cost-signals)
actions-by-need/mood/MoodActions: PLAY_GAMES -> rest (sleep and passive recovery; cost-signals)
actions-by-need/mood/MoodActions: DANCE_GATHERING -> rest (sleep and passive recovery; cost-signals)
actions-by-need/mood/MoodActions: STORYTELL_FIRESIDE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/mood/MoodActions: CLEAN_LIVING_SPACE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/mood/MoodActions: SUNLIGHT_EXPOSURE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/mood/MoodActions: PET_INTERACTION -> rest (sleep and passive recovery; cost-signals)
actions-by-need/mood/MoodActions: GIFT_SMALL_TOKEN -> rest (sleep and passive recovery; cost-signals)
actions-by-need/morale/MoraleActions: RALLY_SPEECH -> rest (sleep and passive recovery; cost-signals)
actions-by-need/morale/MoraleActions: CELEBRATE_SMALL_WIN -> rest (sleep and passive recovery; cost-signals)
actions-by-need/morale/MoraleActions: ISSUE_COMMENDATION_TOKEN -> rest (sleep and passive recovery; cost-signals)
actions-by-need/morale/MoraleActions: BANNER_RAISING -> rest (sleep and passive recovery; cost-signals)
actions-by-need/morale/MoraleActions: SHARED_SONG_AT_WORK -> rest (sleep and passive recovery; cost-signals)
actions-by-need/morale/MoraleActions: REST_DAY_ROTATION -> sedentary (seated cognitive, social or administrative work; cost-signals)
actions-by-need/morale/MoraleActions: WARM_MEAL_DISTRIBUTION -> rest (sleep and passive recovery; cost-signals)
actions-by-need/morale/MoraleActions: FIRE_HEARTH_GATHER -> rest (sleep and passive recovery; cost-signals)
actions-by-need/morale/MoraleActions: TEAM_GAME_SPORT -> rest (sleep and passive recovery; cost-signals)
actions-by-need/morale/MoraleActions: LETTERS_FROM_HOME_READING -> rest (sleep and passive recovery; cost-signals)
actions-by-need/morale/MoraleActions: HONOR_FALLEN_RITES -> rest (sleep and passive recovery; cost-signals)
actions-by-need/morale/MoraleActions: SUCCESS_TALLY_BOARD -> rest (sleep and passive recovery; cost-signals)
actions-by-need/morale/MoraleActions: PAIR_NEW_WITH_VETERAN -> rest (sleep and passive recovery; cost-signals)
actions-by-need/morale/MoraleActions: HOPE_STORIES_SHARING -> rest (sleep and passive recovery; cost-signals)
actions-by-need/morale/MoraleActions: CLEAN_AND_DECORATE_COMMONS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/morale/MoraleActions: SET_SYMBOLIC_GOAL_MARKER -> rest (sleep and passive recovery; cost-signals)
actions-by-need/network/NetworkActions: MARKET_MEET_AND_GREET -> rest (sleep and passive recovery; cost-signals)
actions-by-need/network/NetworkActions: LETTER_OF_INTRODUCTION -> rest (sleep and passive recovery; cost-signals)
actions-by-need/network/NetworkActions: HOST_GUEST_MERCHANT -> rest (sleep and passive recovery; cost-signals)
actions-by-need/network/NetworkActions: RECIPROCAL_FAVORS_LEDGER -> rest (sleep and passive recovery; cost-signals)
actions-by-need/network/NetworkActions: GUILD_GREETING_RITUAL -> rest (sleep and passive recovery; cost-signals)
actions-by-need/network/NetworkActions: SHARED_TOOLS_LIBRARY -> rest (sleep and passive recovery; cost-signals)
actions-by-need/network/NetworkActions: ESCORT_CARAVAN -> rest (sleep and passive recovery; cost-signals)
actions-by-need/network/NetworkActions: COUNCIL_OF_NEIGHBORS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/network/NetworkActions: HOST_CRAFT_SALON -> rest (sleep and passive recovery; cost-signals)
actions-by-need/network/NetworkActions: PATRON_SPONSORSHIP -> rest (sleep and passive recovery; cost-signals)
actions-by-need/network/NetworkActions: NOTICE_BOARD_INTROS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/network/NetworkActions: FESTIVAL_OF_ALLIANCES -> rest (sleep and passive recovery; cost-signals)
actions-by-need/network/NetworkActions: MESSENGER_EXCHANGE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/network/NetworkActions: SKILL_BARTER_DAY -> rest (sleep and passive recovery; cost-signals)
actions-by-need/network/NetworkActions: MUTUAL_DEFENSE_PLEDGE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/network/NetworkActions: TRADE_ROUTE_MAPPING -> rest (sleep and passive recovery; cost-signals)
actions-by-need/order/OrderActions: POST_HOUSE_RULES -> rest (sleep and passive recovery; cost-signals)
actions-by-need/order/OrderActions: LAY_FLOOR_MARKS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/order/OrderActions: APPOINT_STEWARD -> rest (sleep and passive recovery; cost-signals)
actions-by-need/order/OrderActions: DAILY_TIDY_PASS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/order/OrderActions: INVENTORY_SHELVING -> rest (sleep and passive recovery; cost-signals)
actions-by-need/order/OrderActions: QUEUE_LINE_FORMATION -> rest (sleep and passive recovery; cost-signals)
actions-by-need/order/OrderActions: STANDARD_BOX_LABELS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/order/OrderActions: SCHEDULE_BELLS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/order/OrderActions: SORT_INBOX_OUTBOX -> rest (sleep and passive recovery; cost-signals)
actions-by-need/order/OrderActions: MAP_TERRITORY_PLOTS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/order/OrderActions: ROTATION_ROTA_BOARD -> rest (sleep and passive recovery; cost-signals)
actions-by-need/order/OrderActions: LOST_FOUND_STATION -> rest (sleep and passive recovery; cost-signals)
actions-by-need/order/OrderActions: DISPUTE_QUEUE_TOKENS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/order/OrderActions: CLEAN_RECORDS_ARCHIVE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/order/OrderActions: ONE_WAY_WALKWAYS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/order/OrderActions: WASTE_SEPARATION_POINTS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/power/PowerActions: FORMALIZE_CHAIN_OF_COMMAND -> rest (sleep and passive recovery; cost-signals)
actions-by-need/power/PowerActions: APPOINT_OFFICERS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/power/PowerActions: DELEGATE_AUTHORITY -> rest (sleep and passive recovery; cost-signals)
actions-by-need/power/PowerActions: ISSUE_DECREE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/power/PowerActions: CONVENE_PRIVY_COUNCIL -> rest (sleep and passive recovery; cost-signals)
actions-by-need/power/PowerActions: CONTROL_KEY_RESOURCES -> rest (sleep and passive recovery; cost-signals)
actions-by-need/power/PowerActions: GRANT_PRIVILEGE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/power/PowerActions: REVOKE_PRIVILEGE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/power/PowerActions: ESTABLISH_INTELLIGENCE_NETWORK -> rest (sleep and passive recovery; cost-signals)
actions-by-need/power/PowerActions: ENFORCE_TAX_OR_TITHE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/power/PowerActions: APPOINT_JUDGES -> rest (sleep and passive recovery; cost-signals)
actions-by-need/power/PowerActions: RAISE_GUARD_OR_RETINUE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/power/PowerActions: CALL_MUSTER -> rest (sleep and passive recovery; cost-signals)
actions-by-need/power/PowerActions: NEGOTIATE_VASSALAGE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/power/PowerActions: HOSTAGE_EXCHANGE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/power/PowerActions: PUNISHMENT_WITH_DUE_PROCESS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/privacy/PrivacyActions: CREATE_PRIVATE_QUARTERS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/privacy/PrivacyActions: SET_SCREEN_PARTITIONS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/privacy/PrivacyActions: SECURE_STORAGE_CHEST -> rest (sleep and passive recovery; cost-signals)
actions-by-need/privacy/PrivacyActions: QUIET_ZONE_DECLARATION -> rest (sleep and passive recovery; cost-signals)
actions-by-need/privacy/PrivacyActions: PRIVATE_COUNSEL_MEET -> rest (sleep and passive recovery; cost-signals)
actions-by-need/privacy/PrivacyActions: REDACT_SENSITIVE_RECORDS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/privacy/PrivacyActions: CONFIDE_TRUSTED_CONFIDANT -> rest (sleep and passive recovery; cost-signals)
actions-by-need/privacy/PrivacyActions: PERSONAL_TIME_BLOCK -> rest (sleep and passive recovery; cost-signals)
actions-by-need/privacy/PrivacyActions: MARKET_PRIVACY_CURTAIN -> rest (sleep and passive recovery; cost-signals)
actions-by-need/privacy/PrivacyActions: SOUND_DAMPENING_MATS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/privacy/PrivacyActions: CONTROL_VISITORS_LEDGER -> rest (sleep and passive recovery; cost-signals)
actions-by-need/privacy/PrivacyActions: SEALED_LETTER_SERVICE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/privacy/PrivacyActions: MASK_IDENTITY_ATTIRE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/privacy/PrivacyActions: BATHING_SCHEDULE_SEPARATE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/privacy/PrivacyActions: WINDOW_SHUTTERS_PROTOCOL -> rest (sleep and passive recovery; cost-signals)
actions-by-need/privacy/PrivacyActions: SECLUDED_PATH_MAPPING -> rest (sleep and passive recovery; cost-signals)
actions-by-need/productivity/ProductivityActions: MORNING_TALLY_AND_BRIEF -> rest (sleep and passive recovery; cost-signals)
actions-by-need/productivity/ProductivityActions: TASK_BOARD_PULL_TOKENS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/productivity/ProductivityActions: SET_WIP_LIMITS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/productivity/ProductivityActions: STANDARDIZE_WORK_STEPS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/productivity/ProductivityActions: TOOLS_MAINTENANCE_ROTA -> rest (sleep and passive recovery; cost-signals)
actions-by-need/productivity/ProductivityActions: BENCH_LAYOUT_STREAMLINE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/productivity/ProductivityActions: BATCH_PREP_MATERIALS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/productivity/ProductivityActions: CROSS_TRAIN_PAIRING -> rest (sleep and passive recovery; cost-signals)
actions-by-need/productivity/ProductivityActions: PRIORITIZE_HIGH_IMPACT -> rest (sleep and passive recovery; cost-signals)
actions-by-need/productivity/ProductivityActions: REMOVE_BOTTLENECK -> rest (sleep and passive recovery; cost-signals)
actions-by-need/productivity/ProductivityActions: MEASURE_THROUGHPUT_TALLY -> rest (sleep and passive recovery; cost-signals)
actions-by-need/productivity/ProductivityActions: QUALITY_CHECK_AT_SOURCE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/productivity/ProductivityActions: MIDDAY_SYNCH_AND_REALLOC -> rest (sleep and passive recovery; cost-signals)
actions-by-need/productivity/ProductivityActions: BUFFER_STOCK_ESTABLISH -> rest (sleep and passive recovery; cost-signals)
actions-by-need/productivity/ProductivityActions: SHIFT_HANDOFF_RITUAL -> rest (sleep and passive recovery; cost-signals)
actions-by-need/productivity/ProductivityActions: FAIR_REWARD_DISTRIBUTION -> rest (sleep and passive recovery; cost-signals)
actions-by-need/property/PropertyActions: CLAIM_LAND -> rest (sleep and passive recovery; cost-signals)
actions-by-need/property/PropertyActions: BUILD_HOUSE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/property/PropertyActions: MARK_TERRITORY -> rest (sleep and passive recovery; cost-signals)
actions-by-need/property/PropertyActions: DEFEND_PROPERTY -> rest (sleep and passive recovery; cost-signals)
actions-by-need/property/PropertyActions: REPAIR_PROPERTY -> rest (sleep and passive recovery; cost-signals)
actions-by-need/property/PropertyActions: RENT_PROPERTY -> rest (sleep and passive recovery; cost-signals)
actions-by-need/property/PropertyActions: TRANSFER_OWNERSHIP -> rest (sleep and passive recovery; cost-signals)
actions-by-need/property/PropertyActions: CONTEST_PROPERTY -> rest (sleep and passive recovery; cost-signals)
actions-by-need/property/PropertyActions: EVICT_INTRUDER -> rest (sleep and passive recovery; cost-signals)
actions-by-need/property/PropertyActions: STORE_ITEMS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/purpose/PurposeActions: DEFINE_PERSONAL_VOW -> rest (sleep and passive recovery; cost-signals)
actions-by-need/purpose/PurposeActions: PUBLICLY_DECLARE_VOW -> rest (sleep and passive recovery; cost-signals)
actions-by-need/purpose/PurposeActions: SEEK_PATRON_FOR_MISSION -> rest (sleep and passive recovery; cost-signals)
actions-by-need/purpose/PurposeActions: DRAFT_MISSION_CHARTER -> rest (sleep and passive recovery; cost-signals)
actions-by-need/purpose/PurposeActions: BREAKDOWN_GOALS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/purpose/PurposeActions: ALLOCATE_TIME_BLOCKS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/purpose/PurposeActions: GATHER_MISSION_RESOURCES -> rest (sleep and passive recovery; cost-signals)
actions-by-need/purpose/PurposeActions: RECRUIT_MISSION_TEAM -> rest (sleep and passive recovery; cost-signals)
actions-by-need/purpose/PurposeActions: PILOT_MISSION_STEP -> rest (sleep and passive recovery; cost-signals)
actions-by-need/purpose/PurposeActions: CONDUCT_PROGRESS_RITUAL -> rest (sleep and passive recovery; cost-signals)
actions-by-need/purpose/PurposeActions: REPORT_PROGRESS_PUBLICLY -> rest (sleep and passive recovery; cost-signals)
actions-by-need/purpose/PurposeActions: ADJUST_MISSION_SCOPE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/purpose/PurposeActions: HANDLE_SETBACK_POSTMORTEM -> rest (sleep and passive recovery; cost-signals)
actions-by-need/purpose/PurposeActions: RENEW_VOW_AT_MILESTONE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/purpose/PurposeActions: HANDOFF_OR_LEGACY_PLAN -> rest (sleep and passive recovery; cost-signals)
actions-by-need/purpose/PurposeActions: COMPLETE_MISSION_CEREMONY -> rest (sleep and passive recovery; cost-signals)
actions-by-need/quality/QualityActions: SPEC_DEFINE_ACCEPTANCE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/quality/QualityActions: SELECT_PROPER_MATERIAL -> rest (sleep and passive recovery; cost-signals)
actions-by-need/quality/QualityActions: CALIBRATE_TOOLS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/quality/QualityActions: FIRST_ARTICLE_CHECK -> rest (sleep and passive recovery; cost-signals)
actions-by-need/quality/QualityActions: IN_PROCESS_INSPECTION -> rest (sleep and passive recovery; cost-signals)
actions-by-need/quality/QualityActions: STOP_AND_FIX_RULE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/quality/QualityActions: SCRAP_AND_REWORK -> rest (sleep and passive recovery; cost-signals)
actions-by-need/quality/QualityActions: POKA_YOKE_GUARDS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/quality/QualityActions: CLEAN_WORK_SURFACES -> rest (sleep and passive recovery; cost-signals)
actions-by-need/quality/QualityActions: TOOL_EDGE_MAINTENANCE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/quality/QualityActions: FINAL_INSPECTION_STAMP -> rest (sleep and passive recovery; cost-signals)
actions-by-need/quality/QualityActions: DEFECT_LOG_LEDGER -> rest (sleep and passive recovery; cost-signals)
actions-by-need/quality/QualityActions: ROOT_CAUSE_CIRCLE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/quality/QualityActions: TRAIN_ON_STANDARD -> rest (sleep and passive recovery; cost-signals)
actions-by-need/quality/QualityActions: SUPPLIER_AUDIT_VISIT -> rest (sleep and passive recovery; cost-signals)
actions-by-need/quality/QualityActions: CUSTOMER_FEEDBACK_LOOP -> rest (sleep and passive recovery; cost-signals)
actions-by-need/reproduction/ReproductionActions: SEEK_PARTNER -> rest (sleep and passive recovery; cost-signals)
actions-by-need/reproduction/ReproductionActions: FLIRT -> rest (sleep and passive recovery; cost-signals)
actions-by-need/reproduction/ReproductionActions: GIFT_TO_PARTNER -> rest (sleep and passive recovery; cost-signals)
actions-by-need/reproduction/ReproductionActions: COURTSHIP_RITUAL -> rest (sleep and passive recovery; cost-signals)
actions-by-need/reproduction/ReproductionActions: SHOW_STRENGTH -> rest (sleep and passive recovery; cost-signals)
actions-by-need/reproduction/ReproductionActions: BUILD_HOME_FOR_FAMILY -> rest (sleep and passive recovery; cost-signals)
actions-by-need/reproduction/ReproductionActions: FORM_UNION -> rest (sleep and passive recovery; cost-signals)
actions-by-need/reproduction/ReproductionActions: MAKE_LOVE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/reproduction/ReproductionActions: ATTEMPT_CONCEPTION -> rest (sleep and passive recovery; cost-signals)
actions-by-need/reproduction/ReproductionActions: CARE_FOR_PARTNER -> rest (sleep and passive recovery; cost-signals)
actions-by-need/reproduction/ReproductionActions: CARE_FOR_CHILD -> rest (sleep and passive recovery; cost-signals)
actions-by-need/reproduction/ReproductionActions: TEACH_CHILD -> rest (sleep and passive recovery; cost-signals)
actions-by-need/reproduction/ReproductionActions: CELEBRATE_FERTILITY -> rest (sleep and passive recovery; cost-signals)
actions-by-need/reproduction/ReproductionActions: DEFEND_FAMILY -> rest (sleep and passive recovery; cost-signals)
actions-by-need/reproduction/ReproductionActions: SEEK_MIDWIFE -> rest (sleep and passive recovery; cost-signals)
actions-by-need/reproduction/ReproductionActions: BLESS_CHILD -> rest (sleep and passive recovery; cost-signals)
actions-by-need/reputation/ReputationActions: ANNOUNCE_DEEDS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/reputation/ReputationActions: HIRE_TOWN_CRIER -> rest (sleep and passive recovery; cost-signals)
actions-by-need/reputation/ReputationActions: COMMISSION_BARD -> rest (sleep and passive recovery; cost-signals)
actions-by-need/reputation/ReputationActions: SPONSOR_PUBLIC_WORKS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/reputation/ReputationActions: MAKE_PUBLIC_AMENDS -> rest (sleep and passive recovery; cost-signals)
actions-by-need/reputation/ReputationActions: RETURN_LOST_PROPERTY -> sedentary (seated cognitive, social or administrative work; cost-signals)
actions-by-need/reputation/ReputationActions: RESCUE_IN_DANGER -> rest (sleep and passive recovery; cost-signals)
